macro,type,size,file,line
SNDCTL_DSP_GETOPEAKS,oss_peaks_t,256,12.1src/sys/sys/soundcard.h,1708
SNDCTL_DSP_GETOPTR,count_info,12,12.1src/sys/sys/soundcard.h,934
SNDCTL_DSP_GETOSPACE,audio_buf_info,16,12.1src/sys/sys/soundcard.h,819
SNDCTL_DSP_GETPLAYVOL,int,4,12.1src/sys/sys/soundcard.h,1595
SNDCTL_DSP_GETRECVOL,int,4,12.1src/sys/sys/soundcard.h,1684
SNDCTL_DSP_GETTRIGGER,int,4,12.1src/sys/sys/soundcard.h,919
SNDCTL_DSP_GET_CHNORDER,unsigned long long,8,12.1src/sys/sys/soundcard.h,1691
SNDCTL_DSP_GET_PLAYTGT,int,4,12.1src/sys/sys/soundcard.h,1682
SNDCTL_DSP_GET_RECSRC,int,4,12.1src/sys/sys/soundcard.h,1678
SNDCTL_DSP_LOW_WATER,int,4,12.1src/sys/sys/soundcard.h,1652
SNDCTL_DSP_MAPINBUF,buffmem_desc,8,12.1src/sys/sys/soundcard.h,941
SNDCTL_DSP_MAPOUTBUF,buffmem_desc,8,12.1src/sys/sys/soundcard.h,942
SNDCTL_DSP_POLICY,int,4,12.1src/sys/sys/soundcard.h,1709
SNDCTL_DSP_SETBLKSIZE,int,4,12.1src/sys/sys/soundcard.h,786
SNDCTL_DSP_SETFMT,int,4,12.1src/sys/sys/soundcard.h,787
SNDCTL_DSP_SETFRAGMENT,int,4,12.1src/sys/sys/soundcard.h,803
SNDCTL_DSP_SETPLAYVOL,int,4,12.1src/sys/sys/soundcard.h,1596
